# Time (au) | Atom | X (Bohr) | Y (Bohr) | Z (Bohr) | Vx (au) | Vy (au) | Vz (au) | Fx (au) | Fy (au) | Fz (au)
    0.000000 O       0.00000000     0.00000000     0.22259084     0.00003053     0.00002607    -0.00006310    -0.00000000    -0.00000000     0.34850887
    0.000000 H       0.00000000     1.42759927    -0.89036336     0.00018739    -0.00017785     0.00014297     0.00000000     0.28957014    -0.17425913
    0.000000 H       0.00000000    -1.42759927    -0.89036336    -0.00067591    -0.00023924     0.00086666     0.00000000    -0.28957014    -0.17425913
    0.010000 O       0.00000031     0.00000026     0.22259021     0.00003053     0.00002607    -0.00006298     0.00000087    -0.00000039     0.34851115
    0.010000 H       0.00000187     1.42759750    -0.89036194     0.00018739    -0.00017626     0.00014202     0.00000044     0.28957364    -0.17426144
    0.010000 H      -0.00000676    -1.42760167    -0.89035470    -0.00067591    -0.00024083     0.00086570    -0.00000130    -0.28957324    -0.17425910
    0.020000 O       0.00000061     0.00000052     0.22258958     0.00003053     0.00002607    -0.00006286     0.00000173    -0.00000093     0.34851334
    0.020000 H       0.00000375     1.42759574    -0.89036052     0.00018739    -0.00017467     0.00014106     0.00000088     0.28957711    -0.17426376
    0.020000 H      -0.00001352    -1.42760409    -0.89034605    -0.00067591    -0.00024242     0.00086474    -0.00000261    -0.28957618    -0.17425896
    0.030000 O       0.00000092     0.00000078     0.22258895     0.00003053     0.00002607    -0.00006274     0.00000259    -0.00000148     0.34851547
    0.030000 H       0.00000562     1.42759401    -0.89035911     0.00018739    -0.00017308     0.00014011     0.00000133     0.28958053    -0.17426606
    0.030000 H      -0.00002028    -1.42760652    -0.89033740    -0.00067591    -0.00024401     0.00086379    -0.00000391    -0.28957905    -0.17425880
    0.040000 O       0.00000122     0.00000104     0.22258833     0.00003053     0.00002607    -0.00006262     0.00000345    -0.00000202     0.34851757
    0.040000 H       0.00000750     1.42759228    -0.89035772     0.00018739    -0.00017149     0.00013915     0.00000177     0.28958392    -0.17426835
    0.040000 H      -0.00002704    -1.42760897    -0.89032877    -0.00067591    -0.00024560     0.00086283    -0.00000522    -0.28958190    -0.17425861
    0.050000 O       0.00000153     0.00000130     0.22258770     0.00003053     0.00002607    -0.00006250     0.00000431    -0.00000256     0.34851964
    0.050000 H       0.00000937     1.42759058    -0.89035633     0.00018739    -0.00016991     0.00013819     0.00000222     0.28958729    -0.17427061
    0.050000 H      -0.00003380    -1.42761143    -0.89032015    -0.00067591    -0.00024719     0.00086188    -0.00000653    -0.28958473    -0.17425842
    0.060000 O       0.00000183     0.00000156     0.22258708     0.00003053     0.00002607    -0.00006238     0.00000517    -0.00000311     0.34852169
    0.060000 H       0.00001124     1.42758889    -0.89035495     0.00018739    -0.00016832     0.00013724     0.00000266     0.28959064    -0.17427287
    0.060000 H      -0.00004055    -1.42761391    -0.89031153    -0.00067591    -0.00024877     0.00086092    -0.00000783    -0.28958753    -0.17425821
    0.070000 O       0.00000214     0.00000182     0.22258645     0.00003053     0.00002607    -0.00006227     0.00000603    -0.00000365     0.34852371
    0.070000 H       0.00001312     1.42758721    -0.89035359     0.00018739    -0.00016673     0.00013628     0.00000311     0.28959397    -0.17427511
    0.070000 H      -0.00004731    -1.42761641    -0.89030293    -0.00067591    -0.00025036     0.00085996    -0.00000914    -0.28959032    -0.17425798
    0.080000 O       0.00000244     0.00000209     0.22258583     0.00003053     0.00002607    -0.00006215     0.00000689    -0.00000419     0.34852571
    0.080000 H       0.00001499     1.42758555    -0.89035223     0.00018739    -0.00016514     0.00013533     0.00000355     0.28959729    -0.17427734
    0.080000 H      -0.00005407    -1.42761892    -0.89029433    -0.00067591    -0.00025195     0.00085901    -0.00001044    -0.28959310    -0.17425775
    0.090000 O       0.00000275     0.00000235     0.22258521     0.00003053     0.00002607    -0.00006203     0.00000775    -0.00000474     0.34852768
    0.090000 H       0.00001687     1.42758391    -0.89035088     0.00018739    -0.00016355     0.00013437     0.00000400     0.28960059    -0.17427956
    0.090000 H      -0.00006083    -1.42762145    -0.89028575    -0.00067591    -0.00025354     0.00085805    -0.00001175    -0.28959586    -0.17425750
    0.100000 O       0.00000305     0.00000261     0.22258459     0.00003053     0.00002607    -0.00006191     0.00000861    -0.00000528     0.34852963
    0.100000 H       0.00001874     1.42758228    -0.89034954     0.00018739    -0.00016196     0.00013341     0.00000445     0.28960388    -0.17428176
    0.100000 H      -0.00006759    -1.42762399    -0.89027717    -0.00067591    -0.00025513     0.00085710    -0.00001306    -0.28959860    -0.17425725
    0.110000 O       0.00000336     0.00000287     0.22258397     0.00003053     0.00002607    -0.00006179     0.00000947    -0.00000582     0.34853155
    0.110000 H       0.00002061     1.42758067    -0.89034821     0.00018739    -0.00016037     0.00013246     0.00000489     0.28960715    -0.17428396
    0.110000 H      -0.00007435    -1.42762655    -0.89026861    -0.00067591    -0.00025672     0.00085614    -0.00001436    -0.28960133    -0.17425698
